|-----------------------------------------------------------------------------------------------------------|
| Слово           | P(word|bad)     | Pw(word|bad)    | N(word&bad)     | N(word)         | N(bad)          |
|-----------------------------------------------------------------------------------------------------------|
| ham             |            0,02 |         0,02923 |               1 |              51 |              50 |
| go              |            0,08 |           0,115 |               4 |              11 |              50 |
| until           |               0 |         0,16667 |               0 |               2 |              50 |
| jurong          |               0 |            0,25 |               0 |               1 |              50 |
| point           |               0 |            0,25 |               0 |               1 |              50 |
| crazy           |               0 |            0,25 |               0 |               1 |              50 |
| available       |               0 |            0,25 |               0 |               1 |              50 |
| only            |             0,1 |            0,15 |               5 |               7 |              50 |
| in              |             0,1 |         0,13636 |               5 |              10 |              50 |
| bugis           |               0 |            0,25 |               0 |               1 |              50 |
| n               |            0,02 |            0,14 |               1 |               3 |              50 |
| great           |               0 |           0,125 |               0 |               3 |              50 |
| world           |               0 |            0,25 |               0 |               1 |              50 |
| la              |               0 |            0,25 |               0 |               1 |              50 |
| e               |            0,02 |            0,18 |               1 |               2 |              50 |
| buffet          |               0 |            0,25 |               0 |               1 |              50 |
| cine            |               0 |            0,25 |               0 |               1 |              50 |
| there           |            0,02 |           0,116 |               1 |               4 |              50 |
| got             |               0 |         0,16667 |               0 |               2 |              50 |
| amore           |               0 |            0,25 |               0 |               1 |              50 |
| wat             |               0 |            0,25 |               0 |               1 |              50 |
| ok              |            0,02 |            0,14 |               1 |               3 |              50 |
| lar             |               0 |         0,16667 |               0 |               2 |              50 |
| joking          |               0 |         0,16667 |               0 |               2 |              50 |
| wif             |               0 |            0,25 |               0 |               1 |              50 |
| u               |            0,24 |           0,253 |              12 |              19 |              50 |
| oni             |               0 |            0,25 |               0 |               1 |              50 |
| dun             |               0 |            0,25 |               0 |               1 |              50 |
| say             |               0 |            0,25 |               0 |               1 |              50 |
| so              |            0,02 |             0,1 |               1 |               5 |              50 |
| early           |               0 |         0,16667 |               0 |               2 |              50 |
| hor             |               0 |            0,25 |               0 |               1 |              50 |
| c               |            0,08 |            0,15 |               4 |               5 |              50 |
| already         |               0 |         0,16667 |               0 |               2 |              50 |
| then            |               0 |             0,1 |               0 |               4 |              50 |
| nah             |               0 |            0,25 |               0 |               1 |              50 |
| i               |            0,08 |         0,09448 |               4 |              28 |              50 |
| don             |               0 |             0,1 |               0 |               4 |              50 |
| t               |             0,1 |         0,12667 |               5 |              14 |              50 |
| think           |            0,02 |            0,18 |               1 |               2 |              50 |
| he              |               0 |         0,08333 |               0 |               5 |              50 |
| goes            |               0 |            0,25 |               0 |               1 |              50 |
| to              |            0,72 |         0,71577 |              36 |              51 |              50 |
| usf             |               0 |            0,25 |               0 |               1 |              50 |
| lives           |               0 |            0,25 |               0 |               1 |              50 |
| around          |               0 |         0,16667 |               0 |               2 |              50 |
| here            |            0,02 |            0,14 |               1 |               3 |              50 |
| though          |               0 |         0,16667 |               0 |               2 |              50 |
| even            |            0,02 |           0,116 |               1 |               4 |              50 |
| my              |            0,02 |         0,07333 |               1 |               8 |              50 |
| brother         |               0 |            0,25 |               0 |               1 |              50 |
| is              |             0,2 |         0,21667 |              10 |              17 |              50 |
| not             |            0,06 |           0,104 |               3 |               9 |              50 |
| like            |            0,02 |         0,08857 |               1 |               6 |              50 |
| speak           |            0,04 |           0,155 |               2 |               3 |              50 |
| with            |            0,12 |         0,14923 |               6 |              12 |              50 |
| me              |            0,02 |         0,08857 |               1 |               6 |              50 |
| they            |            0,02 |            0,18 |               1 |               2 |              50 |
| treat           |               0 |            0,25 |               0 |               1 |              50 |
| aids            |               0 |            0,25 |               0 |               1 |              50 |
| patent          |               0 |            0,25 |               0 |               1 |              50 |
| as              |            0,08 |            0,15 |               4 |               5 |              50 |
| per             |            0,02 |            0,18 |               1 |               2 |              50 |
| your            |            0,26 |         0,27143 |              13 |              20 |              50 |
| request         |               0 |            0,25 |               0 |               1 |              50 |
| melle           |               0 |            0,25 |               0 |               1 |              50 |
| oru             |               0 |            0,25 |               0 |               1 |              50 |
| minnaminunginte |               0 |            0,25 |               0 |               1 |              50 |
| nurungu         |               0 |            0,25 |               0 |               1 |              50 |
| vettam          |               0 |            0,25 |               0 |               1 |              50 |
| has             |            0,02 |            0,14 |               1 |               3 |              50 |
| been            |            0,08 |            0,14 |               4 |               6 |              50 |
| set             |               0 |            0,25 |               0 |               1 |              50 |
| callertune      |               0 |            0,25 |               0 |               1 |              50 |
| for             |             0,2 |         0,21667 |              10 |              17 |              50 |
| all             |            0,04 |          0,0975 |               2 |               7 |              50 |
| callers         |               0 |            0,25 |               0 |               1 |              50 |
| press           |               0 |            0,25 |               0 |               1 |              50 |
| copy            |               0 |            0,25 |               0 |               1 |              50 |
| friends         |               0 |            0,25 |               0 |               1 |              50 |
| m               |            0,04 |         0,08182 |               2 |              10 |              50 |
| gonna           |               0 |         0,16667 |               0 |               2 |              50 |
| be              |            0,08 |            0,14 |               4 |               6 |              50 |
| home            |               0 |           0,125 |               0 |               3 |              50 |
| soon            |            0,02 |            0,18 |               1 |               2 |              50 |
| and             |            0,14 |           0,164 |               7 |              14 |              50 |
| want            |            0,04 |         0,10571 |               2 |               6 |              50 |
| talk            |               0 |            0,25 |               0 |               1 |              50 |
