|-----------------------------------------------------------------------------------------------------------|
| Слово           | P(слово|good)   | Pw(слово|good)  | N(слово&good)   | N(слово)        | N(good)         |
|-----------------------------------------------------------------------------------------------------------|
| ham             |               1 |         0,99038 |              50 |              51 |              50 |
| go              |            0,14 |            0,17 |               7 |              11 |              50 |
| until           |            0,04 |         0,19333 |               2 |               2 |              50 |
| jurong          |            0,02 |            0,26 |               1 |               1 |              50 |
| point           |            0,02 |            0,26 |               1 |               1 |              50 |
| crazy           |            0,02 |            0,26 |               1 |               1 |              50 |
| available       |            0,02 |            0,26 |               1 |               1 |              50 |
| only            |            0,04 |          0,0975 |               2 |               7 |              50 |
| in              |             0,1 |         0,13636 |               5 |              10 |              50 |
| bugis           |            0,02 |            0,26 |               1 |               1 |              50 |
| n               |            0,04 |           0,155 |               2 |               3 |              50 |
| great           |            0,06 |            0,17 |               3 |               3 |              50 |
| world           |            0,02 |            0,26 |               1 |               1 |              50 |
| la              |            0,02 |            0,26 |               1 |               1 |              50 |
| e               |            0,02 |            0,18 |               1 |               2 |              50 |
| buffet          |            0,02 |            0,26 |               1 |               1 |              50 |
| cine            |            0,02 |            0,26 |               1 |               1 |              50 |
| there           |            0,06 |           0,148 |               3 |               4 |              50 |
| got             |            0,04 |         0,19333 |               2 |               2 |              50 |
| amore           |            0,02 |            0,26 |               1 |               1 |              50 |
| wat             |            0,02 |            0,26 |               1 |               1 |              50 |
| ok              |            0,04 |           0,155 |               2 |               3 |              50 |
| lar             |            0,04 |         0,19333 |               2 |               2 |              50 |
| joking          |            0,04 |         0,19333 |               2 |               2 |              50 |
| wif             |            0,02 |            0,26 |               1 |               1 |              50 |
| u               |            0,14 |           0,158 |               7 |              19 |              50 |
| oni             |            0,02 |            0,26 |               1 |               1 |              50 |
| dun             |            0,02 |            0,26 |               1 |               1 |              50 |
| say             |            0,02 |            0,26 |               1 |               1 |              50 |
| so              |            0,08 |            0,15 |               4 |               5 |              50 |
| early           |            0,04 |         0,19333 |               2 |               2 |              50 |
| hor             |            0,02 |            0,26 |               1 |               1 |              50 |
| c               |            0,02 |             0,1 |               1 |               5 |              50 |
| already         |            0,04 |         0,19333 |               2 |               2 |              50 |
| then            |            0,08 |           0,164 |               4 |               4 |              50 |
| nah             |            0,02 |            0,26 |               1 |               1 |              50 |
| i               |            0,48 |         0,48069 |              24 |              28 |              50 |
| don             |            0,08 |           0,164 |               4 |               4 |              50 |
| t               |            0,18 |         0,20133 |               9 |              14 |              50 |
| think           |            0,02 |            0,18 |               1 |               2 |              50 |
| he              |             0,1 |         0,16667 |               5 |               5 |              50 |
| goes            |            0,02 |            0,26 |               1 |               1 |              50 |
| to              |             0,3 |         0,30385 |              15 |              51 |              50 |
| usf             |            0,02 |            0,26 |               1 |               1 |              50 |
| lives           |            0,02 |            0,26 |               1 |               1 |              50 |
| around          |            0,04 |         0,19333 |               2 |               2 |              50 |
| here            |            0,04 |           0,155 |               2 |               3 |              50 |
| though          |            0,04 |         0,19333 |               2 |               2 |              50 |
| even            |            0,06 |           0,148 |               3 |               4 |              50 |
| my              |            0,14 |            0,18 |               7 |               8 |              50 |
| brother         |            0,02 |            0,26 |               1 |               1 |              50 |
| is              |            0,14 |            0,16 |               7 |              17 |              50 |
| not             |            0,12 |           0,158 |               6 |               9 |              50 |
| like            |             0,1 |         0,15714 |               5 |               6 |              50 |
| speak           |            0,02 |            0,14 |               1 |               3 |              50 |
| with            |            0,12 |         0,14923 |               6 |              12 |              50 |
| me              |             0,1 |         0,15714 |               5 |               6 |              50 |
| they            |            0,02 |            0,18 |               1 |               2 |              50 |
| treat           |            0,02 |            0,26 |               1 |               1 |              50 |
| aids            |            0,02 |            0,26 |               1 |               1 |              50 |
| patent          |            0,02 |            0,26 |               1 |               1 |              50 |
| as              |            0,02 |             0,1 |               1 |               5 |              50 |
| per             |            0,02 |            0,18 |               1 |               2 |              50 |
